"iter","objective","rel_objective_change","step_frob","rel_step_frob","truth_frob","rel_truth_frob","truth_matrix_mse","rank_1e8","rank_1e4","converged"
1,0.654685133030669,0.171673111552984,0.324702767341679,0.324702767341679,7.41659125761173,0.996796040392974,0.0733411011766436,1,1,FALSE
2,0.62795583869806,0.0161537042903459,0.0741800829968379,0.0559975300313574,7.39985268659587,0.994546362511196,0.0730104263777602,1,1,FALSE
3,0.611603866741423,0.0100444812862455,0.0626970184004026,0.045707991461947,7.37935105414806,0.991790926039678,0.0726064293071415,1,1,FALSE
4,0.599529264934528,0.00749228892786779,0.0593320434821819,0.0421547827749565,7.35601466260563,0.9886544955855,0.0721479356219587,1,1,FALSE
5,0.590449988262086,0.00567621791703378,0.0565738576606102,0.0392665867880834,7.33088078792196,0.98527648190048,0.0716557508356311,1,1,FALSE
6,0.583585199661094,0.00431625555764503,0.0536743501757362,0.0364012986640193,7.30481657777577,0.981773430354659,0.0711471269799302,1,1,FALSE
7,0.578353194506205,0.00330389874571231,0.0507403996694112,0.0336364816219885,7.27850438681325,0.978237049980646,0.0706355014784797,1,1,FALSE
8,0.574338937543746,0.00254331981994333,0.0478333691476105,0.0310225670432937,7.25247673200173,0.974738911502243,0.0701312249976353,1,1,FALSE
9,0.571243870428554,0.00196594712954308,0.0449868697356685,0.0285782320104,7.2271439790391,0.971334168410936,0.0696421467916815,1,1,FALSE
10,0.568849900755377,0.00152361432762468,0.042219791808324,0.0263043144925479,7.20281438641436,0.968064250904315,0.0691740467801836,1,1,FALSE
11,0.566996279466091,0.00118151601908745,0.0395379964327831,0.024190703640719,7.17971101571778,0.964959138645843,0.0687310003589589,1,1,FALSE
12,0.565563599650389,0.0009142841208209,0.0369377129581569,0.0222215807125235,7.15798698820866,0.962039411260267,0.0683157036311527,1,1,FALSE
13,0.56446207236964,0.000703597912595722,0.0344102871051561,0.0203795339946716,7.13773908122697,0.959318075702657,0.0679297589222331,1,1,FALSE
14,0.563622922679111,0.00053638225262763,0.0319465793625353,0.018648441929147,7.11901948785275,0.95680214676643,0.0675739179579029,1,1,FALSE
15,0.562992279947937,0.000403321492686842,0.0295399798590669,0.0170150826725314,7.10184573499648,0.95449398008295,0.0672482837915837,1,1,FALSE
16,0.562527021094055,0.000297671882229207,0.027187812001165,0.0154696508998551,7.0862088865295,0.952392374629081,0.0669524751780395,1,1,FALSE
17,0.56219204221127,0.000214382777553793,0.0248914352110701,0.0140055245035471,7.07208020719014,0.95049346836173,0.066685757942574,1,1,FALSE
18,0.56195849641553,0.000149498774433331,0.0226555441188083,0.0126186387046635,7.05941647058956,0.948791451618246,0.0664471478736415,1,1,FALSE
19,0.56180263687982,9.978468446339e-05,0.0204871173995629,0.0113067440863282,7.04816409163838,0.947279122517997,0.0662354894168809,1,1,FALSE
20,0.561705011905362,6.25078816957532e-05,0.0183943383731606,0.0100687210752945,7.03826226051305,0.945948308170066,0.0660495141970164,1,1,FALSE
21,0.561649851381208,3.53207063646903e-05,0.0163856794075428,0.00890403792943981,7.02964525141738,0.944790174972719,0.0658878831476999,1,1,FALSE
22,0.561624553000108,1.61997781245794e-05,0.0144692469877378,0.00781238406849247,7.02224407200153,0.943795450296691,0.0657492157423475,1,1,FALSE
23,0.561619222852571,3.41320679551439e-06,0.012652428782039,0.00679348275170605,7.01598760682413,0.942954576167449,0.0656321094654797,1,1,FALSE
24,0.561626252971271,4.5018136280686e-06,0.0109418637960714,0.00584708062146116,7.01080339101609,0.94225781324625,0.065535152249977,1,1,FALSE
25,0.561639933198057,8.760243854635e-06,0.00934377010337472,0.0049731234230208,7.006618129866,0.94169531066285,0.0654569301570225,1,1,FALSE
26,0.561656100899402,1.03530276100666e-05,0.00786472072397788,0.00417216095007268,7.00335805830037,0.941257154329955,0.0653960321236809,1,1,FALSE
27,0.561671833024271,1.00740008381631e-05,0.00651308508865391,0.00344609436321859,7.00094921289108,0.940933403501239,0.065351053175307,1,1,FALSE
28,0.561685183241788,8.54867023556473e-06,0.0053016006371976,0.00279951160603124,6.99931766936501,0.940714122692843,0.0653205971155804,1,1,FALSE
29,0.56169496406322,6.26299175841475e-06,0.00425189318675221,0.00224204531253152,6.99838978143237,0.940589413782097,0.0653032793771427,1,1,FALSE
30,0.561700570985438,3.59028001433257e-06,0.00340149249223403,0.00179204803086813,6.99809244250475,0.940549451182647,0.0652977304451227,1,1,FALSE
31,0.561701843397372,8.14760497705546e-07,0.00280869437762064,0.00147915305200286,6.99835338064302,0.940584521485699,0.0653026000538101,1,1,TRUE
